Economic,Total_Case,POPU,Bachelor,time,GEOID
385907.00000000000,333626,5610932,1433226,24.40000000000,0
52948.00000000000,65122,1062349,249148,19.50000000000,1
57400.00000000000,81949,760054,153397,17.90000000000,2
82265.00000000000,106455,1754078,336655,21.50000000000,4
610488.00000000000,172437,7536582,1955632,28.80000000000,5
372522.00000000000,346421,7172277,1492158,26.60000000000,6
3183251.00000000000,1264539,39553926,9428484,30.70000000000,7
396367.00000000000,247209,5696060,1695602,26.50000000000,8
180406.00000000000,159532,3034081,548919,25.60000000000,9
105263.00000000000,102862,2095376,394598,22.60000000000,10
255418.00000000000,79293,4190962,1032316,24.20000000000,11
192013.00000000000,206165,3161070,664661,22.50000000000,12
39794.00000000000,35078,577701,113557,19.10000000000,13
135225.00000000000,164310,3013756,475367,21.90000000000,14
197172.00000000000,239687,3156268,622253,19.80000000000,15
175703.00000000000,162061,2911624,652489,20.00000000000,16
336816.00000000000,313421,6126290,1271281,24.30000000000,17
129098.00000000000,134710,1929390,422587,19.50000000000,18
207381.00000000000,205999,3943319,686509,22.70000000000,19
54057.00000000000,83348,882270,174784,17.90000000000,20
267051.00000000000,244078,4659756,784275,26.60000000000,21
1918065.00000000000,1215113,28698937,5776533,27.20000000000,22
288985.00000000000,126177,3572395,994548,27.00000000000,23
604208.00000000000,242160,6903079,2181743,31.00000000000,24
89836.00000000000,22925,1356509,368237,28.00000000000,25
64441.00000000000,60722,1057322,260275,25.70000000000,26
35271.00000000000,4642,626451,172272,24.00000000000,27
234054.00000000000,260359,4887535,885357,25.40000000000,28
1111378.00000000000,1012456,21296929,4753637,28.40000000000,29
625329.00000000000,487978,10519034,2301568,29.30000000000,30
120429.00000000000,161516,2986612,441751,25.10000000000,31
249958.00000000000,223063,5084636,1054559,26.00000000000,32
908913.00000000000,759562,12740054,3108972,29.60000000000,33
381733.00000000000,359430,6692050,1212826,24.20000000000,34
217564.00000000000,190601,4467909,765923,24.20000000000,35
596383.00000000000,377231,10383457,2321185,25.70000000000,36
706764.00000000000,446849,11688438,2356585,24.30000000000,37
385741.00000000000,388252,6769869,1348224,25.90000000000,38
561846.00000000000,247380,8518595,2325070,29.10000000000,39
351922.00000000000,426534,5813466,1258379,22.70000000000,40
78507.00000000000,51025,1805556,269706,26.40000000000,41
76410.00000000000,37456,967106,228199,26.70000000000,42
148231.00000000000,22164,702504,301429,31.70000000000,43
434312.00000000000,209191,6042490,1710230,33.70000000000,44
652412.00000000000,350999,8908604,2551765,33.10000000000,45
1751674.00000000000,353040,11143939,5166218,34.00000000000,46
824603.00000000000,386837,12809172,2917402,27.80000000000,47
68441.00000000000,12845,1338021,328999,24.60000000000,48
548567.00000000000,410843,9986461,2070795,25.10000000000,49
